sequence	16S_rRNA_Count	metadata_NSTI	closest_reference_genome
KX442622.1.1315	1	0.005386	GCF_920984675.1
KX450977.1.1308	8	0.022824	GCF_004331385.1
KX453878.1.1451	8	0.03603	GCF_008364555.1
KX456414.1.1321	1	0.05124	GCF_002563895.1
KX462878.1.1523	2	0.037473	GCF_003480915.1
KX467573.1.1306	1	0.13677	GCF_013760845.1
KX508435.1.1498	6	0.059136	GCF_000196795.1
KX508703.1.1428	1	0.050115	GCF_000600335.2
KX550186.1.1464	1	0.273349	GCA_944376795.1
KX550375.1.1241	2	0.015675	GCF_004362405.1
KX583568.1.1222	4	0.022785	GCF_000014445.1
KX583579.1.1213	1	0.063927	GCF_014651235.1
KX603416.1.1394	1	0.149414	GCF_000724085.1
KX603464.1.1394	1	0.152243	GCF_009863985.1
KX618324.1.1216	1	0.014489	GCF_014199595.1
KX618357.1.1313	1	0.111251	GCF_001718195.1
KX621320.1.1240	1	0.079014	GCF_010669145.1
KX641541.1.1330	7	0.026715	GCF_000300455.3
KX641747.1.1497	7	0.010927	GCA_002271215.1
KX648433.1.1278	1	0.036468	GCF_015550425.1
KX672354.1.1393	1	0.059046	GCF_000307265.1
KX672361.1.1394	1	0.083527	GCA_001897515.1
KX672558.1.1394	8	0.021278	GCF_013375935.1
KX672623.1.1394	1	0.079143	GCF_900626145.1
KX672713.1.1394	1	0.124897	GCA_902765005.1
KX672815.1.1409	1	0.012082	GCF_015475875.1
KX682260.1.1205	5	0.0355	GCA_025133575.1
KX687553.1.1251	1	0.021363	GCF_007858365.1
KX692279.1.1210	1	0.037317	GCF_018390595.1
KX752857.1.1465	1	0.037648	GCF_015751045.1
KX752881.1.1465	1	0.025818	GCF_000271405.2
KX787582.1.959	1	1.788291	GCA_015075175.1
KX787760.1.915	1	27.254411	GCA_019636625.1
KX792215.1.1201	1	0.036438	GCF_000186445.1
KX792217.1.1200	1	0.025407	GCF_000392875.1
KX806606.1.1450	1	0.006645	GCF_001029445.1
KX822161.1.1260	1	0.039497	GCF_002902345.1
KX852079.1.1374	1	0.057077	GCF_002858745.1
KX858283.1.1274	1	0.078269	GCF_002000485.1
KX865104.1.1224	1	0.012684	GCF_003709565.1
KX880948.1.1211	7	0.035789	GCF_003697165.2
KX880950.1.1206	7	0.10641	GCF_011881725.1
KX880951.1.1230	7	0.123372	GCA_021307345.1
KX880973.1.1213	1	0.022546	GCF_017316025.1
KX881768.1.1287	1	0.04618	GCF_001591705.1
KX881769.1.1211	2	0.039582	GCF_900475675.1
KX881774.1.1210	1	0.079804	GCF_002154895.1
KX881777.1.1230	1	0.024825	GCF_000016825.1
KX898135.1.1211	2	0.019719	GCF_006970445.1
KX935257.1.1486	3	0.354976	GCF_014384795.1
KX941831.1.1312	1	0.041064	GCF_000160755.1
KX980479.1.1446	7	0.051318	GCA_021307345.1
KX984117.1.1262	11	0.108159	GCF_002760435.1
KX986339.1.1203	3	0.067123	GCF_000369625.1
KX989229.1.1440	1	0.01351	GCF_001570865.1
KX989350.1.1426	1	0.007284	GCF_014705945.2
KY003111.1.1207	1	0.044295	GCF_009738225.1
KY022736.1.1249	8	0.068875	GCF_000828055.2
KY024500.1.1206	1	0.143175	GCF_002902305.1
KY029053.1.1371	1	0.022699	GCF_003933735.1
KY041763.1.1242	5	0.016678	GCF_900636965.1
KY056728.1.1224	2	0.035176	GCF_004803755.1
KY072770.1.1361	9	0.064445	GCF_001183965.1
KY087984.1.1200	7	0.052901	GCF_017299535.1
KY120763.1.1263	1	0.14462	GCF_002742385.2
KY194691.1.1257	1	0.094133	GCA_022448455.1
KY229868.1.1200	1	0.02969	GCF_015680235.1
KY266802.1.1244	2	0.020053	GCA_024732245.1
KY271394.1.1263	1	0.058368	GCF_022815905.1
KY418178.1.1220	1	0.022986	GCF_000204035.1
KY435713.1.1215	1	0.027967	GCF_006742065.1
KY476114.1.1206	2	0.049676	GCF_016925635.1
KY476136.1.1200	6	0.025756	GCF_018326005.1
KY476240.1.1200	1	0.024055	GCF_023715685.1
KY486207.1.1253	1	0.111724	GCF_000768675.1
KY550379.1.1217	8	0.068175	GCF_000828055.2
KY593166.1.1480	8	0.029824	GCF_020526085.1
KY595972.1.1342	1	0.012342	GCF_002899715.1
KY608259.1.1216	1	0.033846	GCF_007989625.1
KY608544.1.1200	1	0.036891	GCF_001905385.1
KY621931.1.1225	1	0.042424	GCF_023715405.1
KY622241.1.1204	1	0.056472	GCF_009651005.1
KY622963.1.1202	1	0.011201	GCF_001570905.1
KY624609.1.1210	2	0.011042	GCF_003031265.1
KY625517.1.1220	1	0.036144	GCF_001591665.1
KY625563.1.1200	1	0.017847	GCF_023715685.1
KY630639.1.1202	5	0.145355	GCF_021341665.1
KY644046.1.1363	1	0.10606	GCA_002270295.1
KY655038.1.1316	7	0.064208	GCF_003697165.2
KY655122.1.1370	7	0.023412	GCF_003697165.2
KY655126.1.1219	7	0.056887	GCF_003697165.2
KY655127.1.1260	7	0.052406	GCF_003697165.2
KY658480.1.1210	1	0.043364	GCF_000296835.1
KY674872.1.1205	1	0.045791	GCF_003030305.1
KY711151.1.1207	7	0.024019	GCF_902158555.1
KY711154.1.1357	8	0.011693	GCF_000828055.2
KY744358.1.1404	8	0.042304	GCF_023023105.1
KY780338.1.1227	1	0.037552	GCF_004211955.1
KY780340.1.1211	7	0.02178	GCF_003697165.2
KY780347.1.1200	7	0.061765	GCA_021307345.1
KY780350.1.1207	7	0.02162	GCA_021307345.1
KY780351.1.1261	7	0.086957	GCF_003697165.2
KY780358.1.1208	7	0.048765	GCF_003697165.2
KY795320.1.1254	1	0.054645	GCF_015751045.1
KY795327.1.1204	1	0.020824	GCF_001544215.1
KY806080.1.1433	1	0.031834	GCF_020687245.1
KY818298.1.1404	8	0.034803	GCF_023023105.1
KY819093.1.1237	4	0.077393	GCF_000017205.1
KY849971.95322.96812	2	0.142311	GCF_022496765.1
KY859794.1.1242	1	0.06158	GCF_001047135.2
KY859798.1.1200	1	0.01945	GCF_023518235.1
KY867686.1.1313	1	0.01536	GCF_000160755.1
KY883186.1.1200	1	0.017682	GCF_000299035.1
KY908288.1.1306	1	0.000807	GCF_009765965.1
KY933306.1.1236	2	0.033981	GCF_014205115.1
KY937951.1.1480	1	0.065479	GCF_001998885.1
KY940567.1.1542	1	0.080116	GCF_015751045.1
KY941241.1.1214	1	0.061682	GCF_018129405.1
KY941259.1.1214	1	0.030631	GCF_002008225.1
KY947688.1.1200	5	0.061481	GCF_014131735.1
KY952683.1.1517	6	0.032553	GCF_009759685.1
KY952736.1.1221	7	0.038063	GCF_002291425.1
KY962890.1.1281	1	0.057065	GCF_007990225.1
KY963440.1.1285	1	0.022132	GCF_019655335.1
KY963445.1.1230	1	0.047384	GCF_000525915.1
KY983579.1.1217	8	0.106071	GCF_000742135.1
KY996845.1.1348	1	0.029066	GCF_019924045.1
L08066.1.1355	1	0.081057	GCF_000712295.1
L16465.1.1473	1	0.138652	GCF_008016795.1
L16475.1.1471	1	0.022972	GCF_000262545.1
L16498.1.1472	3	0.039968	GCF_000427365.1
L34617.1.1490	1	0.163094	GCF_014202635.1
L34682.1.1486	2	0.042527	GCF_000154285.1
L37040.1.1377	6	0.032246	GCF_001045675.1
LARD01000021.11.1513	1	0.113355	GCA_900549855.1
LARF01000109.1.1225	1	0.107128	GCF_003269275.1
LARG01000024.765.2171	2	0.04604	GCA_025144665.1
LARG01000025.1.1402	2	0.089956	GCA_905213895.1
LARI01000033.555.2050	1	0.034373	GCA_021029595.1
LARJ01000053.431.1762	1	0.109646	GCF_001404655.1
LARL01000139.98.1602	5	0.039614	GCA_025148635.1
LARM01000059.1.1420	2	0.110763	GCF_000012845.1
LC028602.1.1521	1	0.09947	GCA_020555605.1
LC028619.1.1519	1	0.125514	GCA_944391805.1
LC028640.1.1508	1	0.115705	GCA_900542245.1
LC028710.1.1519	1	0.112722	GCF_002161675.1
LC028788.1.1525	1	0.142348	GCA_010206265.1
LC028796.1.1523	1	0.123907	GCA_014385105.1
LC028798.1.1527	1	0.091644	GCA_010206265.1
LC028842.1.1525	5	0.076059	GCF_002735305.1
LC028863.1.1529	1	0.123907	GCA_014385105.1
LC028865.1.1499	1	0.125514	GCA_944391805.1
LC033792.1.1501	1	0.014963	GCA_025147325.1
LC036223.1.1475	1	0.156827	GCF_900291955.1
LC055567.1.1561	5	0.044417	GCF_004359375.1
LC060939.1.1200	1	0.023924	GCF_000691145.1
LC099978.1.1200	4	0.023339	GCF_000017205.1
LC099979.1.1200	1	0.089219	GCF_902833145.1
LC127059.1.1395	1	0.010704	GCF_011397115.1
LC190799.1.1211	1	0.025976	GCF_928381505.1
LC190811.1.1214	1	0.016749	GCF_016654005.1
LC191967.1.1345	1	0.019398	GCF_001515305.1
LC198517.1.1475	1	0.040518	GCF_000764665.1
LC198619.1.1220	1	0.009236	GCF_000012905.2
LC318182.1.1310	1	0.063705	GCF_013607875.1
LC318225.1.1360	8	0.018573	GCF_000828055.2
LC318259.1.1364	1	0.031962	GCF_000735435.1
LC318260.1.1363	8	0.130263	GCF_020526085.1
LC318275.1.1365	1	0.214285	GCF_003885105.1
LC320958.1.1442	1	0.107143	GCF_900163655.1
LC322231.1.1201	1	0.071958	GCF_902859735.1
LC342993.1.1200	8	0.01884	GCF_000493015.1
LC379573.1.1385	7	0.012449	GCF_019048065.1
LC428292.1.1449	8	0.008306	GCF_000828055.2
LC428297.1.1229	8	0.006464	GCF_002902985.1
LDZU01009876.1.1325	2	0.134589	GCF_004154955.1
LF135937.1.1347	1	0.183652	GCA_902790905.1
LF651153.1.1334	2	0.036844	GCF_014287795.1
LF652330.1.1293	2	0.011826	GCF_000269605.1
LFZV01000001.3748725.3750285	9	0.025565	GCF_001183965.1
LG086019.1.1326	1	0.11149	GCF_000969825.1
LG103721.11.1362	5	0.030144	GCF_001314995.1
LGYU01000045.758.2266	1	0.00739	GCA_001302245.1
LK021115.1.1470	1	0.014106	GCF_900155365.1
LK021123.1.1724	1	0.174116	GCF_003024675.1
LK056647.1.1423	1	0.001534	GCF_014230355.1
LK391612.1.1206	7	0.062427	GCF_002777975.1
LK392689.1.1203	1	0.038341	GCF_002135355.1
LK985358.1.1200	1	0.02084	GCF_002902265.1
LLVT01000005.96.1646	3	0.003284	GCF_005696695.1
LM621958.1.1361	3	0.122492	GCF_000368085.1
LN558620.1.1207	1	0.056435	GCF_000160755.1
LN558633.1.1352	8	0.054569	GCF_000828055.2
LN560209.1.1373	1	0.043812	GCF_000735435.1
LN560839.1.1320	1	0.038646	GCF_020883495.1
LN560866.1.1319	1	0.009637	GCF_022179185.1
LN560946.1.1366	1	0.044627	GCF_014168815.1
LN562354.1.1316	1	0.119761	GCF_001650025.1
LN562454.1.1321	1	0.062143	GCF_003605755.1
LN564273.1.1366	1	0.043458	GCF_003313385.1
LN564538.1.1355	1	0.106846	GCF_019884725.1
LN564822.1.1376	1	0.108754	GCF_004521965.1
LN565191.1.1359	1	0.036282	GCF_014190805.1
LN573575.1.1364	1	0.127338	GCF_011303755.1
LN573789.1.1382	1	0.17993	GCA_019683805.1
LN611369.1.1200	1	0.049845	GCF_014635885.1
LN611370.1.1200	3	0.047988	GCF_000368765.1
LN612663.1.1479	1	0.180866	GCA_021029595.1
LN612693.1.1530	1	0.262244	GCA_900751685.1
LN613091.1.1499	3	0.157641	GCA_017569285.1
LN680029.1.1459	1	0.066677	GCF_000373745.1
LN774644.1.1203	1	0.064256	GCF_003367705.1
LN774769.1706682.1708225	4	0.025076	GCF_002441695.1
LN824133.260327.261854	8	0.012731	GCF_000828055.2
LN830905.1.1228	1	0.042506	GCF_001425205.1
LN846907.1.1495	1	0.032189	GCF_003478995.1
LN846908.1.1491	1	0.025778	GCF_002161595.1
LN848745.1.1370	7	0.062229	GCF_002925905.1
LN848748.1.1214	1	0.032627	GCF_009496535.1
LN854580.1.1220	1	0.056836	GCF_006757745.1
LN866607.1.1201	1	0.043129	GCF_905175385.1
LN866619.1.1259	1	0.106593	GCF_003610355.1
LN866995.1.1482	2	0.022652	GCF_900199635.1
LN866998.1.1487	2	0.029191	GCF_900059565.1
LN867120.1.1203	1	0.05737	GCF_008180865.1
LN870296.1.1494	1	0.109537	GCF_016900655.1
LN870298.1.1495	2	0.024996	GCF_900626145.1
LN881588.1.1487	1	0.11326	GCA_001487125.1
LN884064.1.1290	1	0.013999	GCF_018811945.1
LN907732.1.1433	4	0.110379	GCF_000010425.1
LN998062.1.1487	1	0.030024	GCF_002160865.1
LNMJ01000136.4775.6344	1	0.020052	GCF_015751045.1
LQ416931.1.1299	1	0.074794	GCF_005405105.1
LR031298.1.1529	1	0.007704	GCF_900625105.1
LS483393.115605.117105	6	0.008235	GCF_000013285.1
LS488978.1.1530	1	0.011977	GCF_900604355.1
LS974444.1245284.1246819	1	0.017949	GCF_010120595.1
LS992100.382056365.382058293	1	1.638256	GCA_002706605.1
LS999984.1.1525	2	0.019019	GCF_900604385.1
LS999988.1.1526	1	0.006109	GCF_900604335.1
LS999998.1.1510	1	0.00391	GCF_900604945.1
LSCS01000002.27.1548	1	0.010022	GCA_001552775.1
LSCT01000005.26.1546	1	0.013547	GCA_001552765.1
LSCX01000005.274.1770	1	0.009399	GCA_001552935.1
LSDM01000016.215.1732	1	0.012349	GCF_001553265.1
LSDR01000051.85.1641	1	0.017636	GCA_001553355.1
LSDT01000016.46.1601	1	0.020771	GCF_001553405.1
LT160759.1.1205	3	0.03086	GCF_016907795.1
LT161891.1.1529	1	0.108337	GCA_014385025.1
LT223572.1.1482	1	0.0154	GCF_005844425.1
LT223577.1.1493	1	0.132082	GCF_002251385.1
LT223592.1.1499	1	0.026829	GCF_009677585.1
LT223609.1.1490	2	0.055973	GCF_003480915.1
LT558846.1.1494	1	0.026	GCF_016899955.1
LT576385.1.1466	3	0.1146	GCF_000466265.1
LT576387.1.1491	3	0.018489	GCA_900199405.1
LT576391.1.1479	1	0.115324	GCF_009936045.1
LT576395.1.1472	1	0.0096	GCF_900199545.1
LT576406.1.1493	1	0.029549	GCF_005845215.1
LT598546.1.1487	1	0.10698	GCF_014287875.1
LT598548.1.1495	1	0.025667	GCF_002159455.1
LT598564.1.1490	1	0.023681	GCF_002265625.1
LT598568.1.1472	2	0.008823	GCF_900184265.1
LT598577.1.1491	1	0.00895	GCF_900155585.1
LT598584.1.1498	1	0.089299	GCF_016902415.1
LT598587.1.1497	1	0.081557	GCF_016902415.1
LT598589.1.1424	1	0.057298	GCF_900291975.1
LT604074.359400.360941	1	0.072247	GCF_000615845.1
LT615140.3.1322	1	0.015232	GCF_011064845.1
LT622246.5345680.5347196	5	0.027669	GCF_001314995.1
LT622246.646741.648255	5	0.106645	GCF_014334015.1
LT623892.1.1499	2	0.092009	GCF_000297775.1
LT623893.1.1476	1	0.115855	GCF_002899695.1
LT623894.1.1472	1	0.01255	GCF_900240215.1
LT629792.1417690.1419244	1	0.021765	GCF_900106055.1
LT630450.715201.716751	1	0.025569	GCF_900116045.1
LT630450.931183.932732	1	0.023699	GCF_900116045.1
LT631507.1.1440	1	0.041823	GCF_900605495.1
LT631513.1.1449	1	0.039119	GCF_900199435.1
LT631520.1.1446	1	0.11326	GCA_001487125.1
LT632320.4649642.4651163	7	0.009814	GCF_003697165.2
LT632322.1285528.1287031	2	0.019922	GCF_900119705.1
LT635455.1790635.1792129	1	0.013639	GCF_900119915.1
LT635457.967085.968602	1	0.017281	GCF_900155605.1
LT635479.2282701.2284214	1	0.032216	GCF_002160985.1
LT635479.2887212.2888725	1	0.029994	GCF_002160985.1
LT635480.1863348.1864856	2	0.023475	GCF_900120375.1
LT671592.1.1430	1	0.053325	GCF_018205345.1
LT671675.379810.381306	2	0.012546	GCF_900143685.1
LT700187.554140.555655	2	0.018277	GCA_900155415.1
LT700188.630817.632359	4	0.016634	GCA_900155405.1
LT722677.1.1450	1	0.07016	GCF_021531255.1
LT722679.1.1458	1	0.0727	GCF_009677585.1
LT722680.1.1429	2	0.020528	GCF_900199705.1
LT725663.1.1450	2	0.082205	GCF_900108035.1
LT745967.1.1588	6	0.076106	GCF_017357005.1
LT797539.1.1481	1	0.097138	GCF_003966955.1
LT821227.1319479.1320707	1	0.009075	GCF_900169485.1
LT827128.1667230.1668717	1	0.009042	GCA_900170005.1
LT853596.1.1448	1	0.034202	GCF_001591705.1
LT899395.1.1523	1	0.016689	GCF_900199515.1
LT900217.3045591.3047078	1	0.013579	GCF_900199375.1
LT900366.1.1516	1	0.029167	GCF_900232825.1
LT906445.1571863.1573414	4	0.013016	GCF_000024945.1
LT906445.578697.580247	4	0.013689	GCF_000024945.1
LT906459.1477099.1478610	1	0.022591	GCF_000190535.1
LT906459.2310307.2311818	1	0.019313	GCF_000190535.1
LT906459.2531148.2532659	1	0.019339	GCF_000190535.1
LT907978.739439.740956	1	0.038584	GCF_000173975.1
LT908453.1.1485	1	0.027396	GCF_900241005.1
LT985391.1.1524	3	0.005354	GCF_900604345.1
LT985457.1.1524	2	0.012747	GCF_900292045.1
LT990039.1744382.1745891	1	0.035398	GCF_900312975.1
LT996087.1.1507	2	0.003956	GCF_900604965.1
LT996885.1078675.1080221	1	0.011246	GCF_007164725.1
LUNU01000001.126792.128033	1	0.003677	GCF_009827295.1
LTXH01000090.666.2207	1	0.108072	GCF_001808555.1
LV536057.1.1200	1	0.008438	GCF_000312305.1
LVTN01000838.51147.52502	2	0.021541	GCF_022496765.1
LWLH01000003.2.1317	1	0.075147	GCF_003481705.1
LWLH01000014.4.1472	1	0.07867	GCF_003481705.1
LWLI01000001.299563.301073	1	0.072806	GCF_003481705.1
LWUD01000045.4.1337	1	0.008229	GCF_001654615.1
LXVN01000186.3.1289	7	0.010935	GCF_000026225.1
LY269657.8.1414	2	0.039379	GCF_900475675.1
LY487048.16.1262	2	0.019017	GCF_000340475.1
LZ174310.2.1426	1	0.012343	GCF_008121495.1
M23732.1.1543	5	0.034596	GCF_012317185.1
M23939.1.1462	1	0.237138	GCF_900660615.1
MAIQ01000023.175.1690	2	0.014641	GCF_001678845.1
MF002599.1.1493	2	0.038407	GCF_900100665.1
MF034065.1.1207	1	0.030116	GCF_023242475.1
MF034068.1.1202	1	0.027295	GCF_000690905.1
MF034070.1.1200	1	0.051909	GCF_001439805.1
MF062657.1.1367	2	0.006504	GCF_000144605.1
MF091971.1.1489	1	0.036067	GCF_900169175.1
MF101699.1.1533	1	0.029401	GCF_900116905.1
MF102139.1.1434	7	0.015247	GCF_011881725.1
MF114029.1.1372	4	0.035335	GCF_000196275.1
MF149066.1.1234	6	0.111419	GCF_001605885.1
MF163317.1.1294	1	0.039178	GCF_003668875.1
MF173070.1.1252	7	0.110605	GCF_003261575.2
MF186614.1.1203	1	0.03776	GCF_001598555.1
MF186615.1.1201	1	0.108993	GCF_004197395.1
MF186617.1.1202	1	0.026094	GCA_900465685.1
MF188186.1.1280	4	0.01607	GCF_002270485.1
MF197403.1.1391	1	0.062312	GCF_015751045.1
MF278278.1.1229	1	0.062844	GCF_014268455.2
MF289555.1.1334	1	0.140878	GCF_018327645.1
MF326581.1.1216	1	0.047091	GCF_000146325.1
MF327684.1.1229	1	0.077811	GCF_004354555.1
MF369961.1.1415	1	0.043225	GCF_015751045.1
MF369962.1.1404	1	0.02997	GCF_001591705.1
MF369967.1.1401	1	0.043596	GCF_015751045.1
MF419186.1.1311	1	0.012783	GCF_014298075.1
MF436195.1.1457	1	0.012197	GCF_001437355.1
MF457853.1.1457	1	0.021745	GCF_011064845.1
MF461119.1.1200	1	0.033122	GCF_000819845.1
MF461279.1.1454	8	0.033016	GCF_000828055.2
MF464539.1.1400	1	0.042519	GCF_000615845.1
MF467812.1.1206	1	0.028681	GCF_900447535.1
MF480321.1.1465	1	0.042093	GCF_003931915.1
MF480349.1.1452	8	0.020259	GCF_020526085.1
MF498493.1.1240	8	0.035824	GCF_000828055.2
MF510818.1.1227	1	0.017394	GCF_012922555.1
MF547661.1.1450	4	0.228477	GCF_000196455.1
MF579713.1.1255	1	0.019194	GCF_000577335.1
MF581529.1.1403	1	0.005018	GCF_015547515.1
MF683391.1.1203	1	0.086796	GCF_900277125.1
MF765330.1.1250	8	0.044313	GCF_023023105.1
MF765337.1.1200	1	0.014293	GCF_001894785.1
MF787937.1.1361	1	0.06397	GCF_000392875.1
MF804991.1.1387	1	0.022473	GCF_000735435.1
MF927674.1.1299	1	0.035016	GCA_001722135.1
MF954006.1.1209	7	0.110232	GCA_901456055.1
MF967214.1.1367	8	0.026757	GCF_000828055.2
MG002036.1.1226	1	0.107994	GCA_900543165.1
MG009208.1.1238	7	0.021416	GCF_011881725.1
MG022657.1.1216	1	0.032495	GCF_000735435.1
MG028632.1.1458	1	0.040421	GCF_002286935.1
MG098242.1.1380	1	0.007261	GCF_003337315.1
MG162616.1.1242	6	0.017322	GCF_900636385.1
MG162668.1.1271	6	0.020075	GCF_001618885.1
MG162691.1.1201	5	0.079205	GCF_006742205.1
MG193729.1.1214	1	0.078602	GCF_001431665.1
MG196044.1.1236	7	0.021847	GCA_000410515.1
MG196051.1.1227	7	0.042704	GCF_003751845.1
MG198991.1.1222	1	0.054839	GCF_000735435.1
MG199973.1.1206	1	0.04296	GCF_001636295.1
MG210656.1.1239	7	0.032911	GCF_902158555.1
MG231210.1.1237	3	0.101175	GCF_014769185.1
MG232327.1.1479	1	0.044543	GCF_019891545.1
MG234280.102503.103899	2	0.142311	GCF_022496765.1
MG238563.1.1200	9	0.024472	GCF_000014685.1
MG245801.1.1200	1	0.088231	GCF_001293735.1
MG254779.1.1200	1	0.040282	GCF_000709345.1
MG254785.1.1200	3	0.140152	GCF_003444775.1
MG264184.1.1265	1	0.182867	GCF_014384805.1
MG271830.1.1213	1	0.108176	GCF_900116045.1
MG321612.1.1372	5	0.108858	GCA_025151045.1
MG367478.1.1219	1	0.015235	GCF_002723975.1
MG372007.1.1206	8	0.016959	GCF_000828055.2
MG457734.1.1371	7	0.012228	GCF_003697165.2
MG491507.1.1416	1	0.101092	GCF_900103425.1
MG515289.1.1202	1	0.042662	GCF_905332535.1
MG543793.1.1226	1	0.021708	GCF_001302565.1
MG546520.1.1203	1	0.015862	GCF_001655005.1
MG546549.1.1454	1	0.010877	GCF_002902265.1
MG548635.1.1227	7	0.046333	GCF_021172065.1
MG549853.1.1263	7	0.02032	GCF_900200035.1
MG549854.1.1233	6	0.027894	GCF_002355155.1
MG572015.1.1234	1	0.011672	GCF_003314995.1
MG575957.1.1243	1	0.049488	GCF_001552735.1
MG590101.1.1207	5	0.031085	GCF_000829035.1
MG591710.1.1255	1	0.037974	GCF_019797825.1
MG593870.1.1239	1	0.085787	GCF_004791025.1
MG594001.1.1227	8	0.034078	GCF_004331385.1
MG597206.1.1227	5	0.030908	GCF_000829035.1
MG641067.1.1393	1	0.00457	GCF_004211955.1
MG675050.1.1274	1	0.025565	GCA_013378335.1
MG675629.1.1252	1	0.030678	GCF_002980555.1
MG692781.1.1246	1	0.038269	GCF_007786445.1
MG735703.1.1525	5	0.076875	GCF_002902405.1
MG738337.1.1283	1	0.062092	GCF_000368825.1
MG754450.1.1274	1	0.033301	GCF_015751045.1
MG755760.1.1200	1	0.027047	GCA_002835675.1
MG755769.1.1243	6	0.016782	GCF_018326005.1
MG798663.1.1217	1	0.035358	GCF_012922555.1
MG807268.1.955	1	25.580952	GCA_002071385.1
MG822667.1.1434	1	0.010336	GCF_003293695.1
MG838736.1.1200	8	0.027821	GCF_023023105.1
MG881800.1.1219	1	0.021155	GCF_000615845.1
MG890347.1.1200	1	0.056502	GCF_001437285.1
MG976652.1.1318	1	0.08548	GCF_001435235.1
MG976685.1.1202	1	0.02239	GCF_004766315.1
MH027388.1.1200	1	0.052042	GCA_001956215.1
MH031774.1.1201	3	0.018358	GCF_005311025.1
MH041031.1.1311	1	0.016277	GCF_004358425.1
MH041191.1.1439	8	0.012479	GCF_019968765.1
MH094643.1.1391	1	0.00015	GCF_003934285.1
MH096047.1.1231	1	0.03232	GCF_000315425.1
MH111581.1.1341	8	0.016937	GCF_020526085.1
MH113152.1.1493	4	0.03533	GCF_000196555.1
MH173277.1.1221	1	0.05263	GCA_002979915.1
MH173282.1.1272	1	0.020887	GCF_001224225.1
MH179061.1.1278	2	0.040511	GCF_006716465.1
MH179119.1.1207	2	0.033697	GCF_014170305.1
MH197051.1.1200	7	0.056925	GCF_002953655.1
MH236011.1.1204	3	0.035665	GCF_001870465.1
MH250028.1.1202	1	0.049148	GCF_001584325.1
MH259843.1.1230	1	0.020701	GCF_006742065.1
MH266246.1.1224	8	0.014612	GCF_000828055.2
MH282448.1.1412	1	0.016618	GCA_022846075.1
MH285986.1.1594	1	0.180963	GCF_000392875.1
MH285987.1.1497	1	0.025175	GCF_000392875.1
MH324463.1.1219	3	0.069739	GCF_023078375.1
MH325270.1.1221	1	0.03338	GCF_006094395.1
MH327499.1.1402	1	0.023267	GCF_007095465.1
MH327507.1.1402	1	0.02192	GCF_001436455.1
MH337905.1.1318	1	0.030845	GCF_900103605.1
MH337916.1.1292	7	0.056265	GCF_900021175.1
MH337931.1.1279	5	0.011023	GCF_009834565.1
MH338008.1.1285	2	0.023643	GCF_900100965.1
MH338010.1.1287	1	0.010668	GCF_013337185.1
MH355962.1.1200	1	0.019195	GCF_001431665.1
MH355963.1.1200	1	0.011826	GCF_002803515.1
MH362787.1.1265	1	0.050609	GCF_000768705.1
MH364377.1.1545	1	0.042801	GCF_900103425.1
MH368256.1.1388	5	0.059915	GCF_002902725.1
MH394200.1.1219	1	0.098046	GCF_016888335.1
MH394451.1.1519	2	0.057499	GCA_025144665.1
MH398500.1.1203	2	0.027614	GCF_004117055.1
MH400162.1.1200	5	0.014214	GCF_000829035.1
MH400693.1.1475	1	0.114701	GCA_025148635.1
MH424756.1.1456	1	0.013858	GCF_019444005.1
MH429836.1.1433	1	0.02818	GCA_000759755.1
MH447000.1.1260	1	0.063235	GCF_009738225.1
MH447001.1.1274	1	0.049628	GCF_009738225.1
MH447007.1.1260	1	0.05832	GCF_009738225.1
MH447010.1.1277	1	0.031067	GCA_902363395.1
MH447014.1.1282	1	0.05732	GCF_009738225.1
MH447019.1.1269	1	0.029373	GCF_009738225.1
MH447020.1.1268	1	0.044247	GCF_009738225.1
MH447031.1.1244	1	0.010977	GCF_000375525.1
MH447036.1.1260	1	0.028421	GCF_000963275.1
MH447039.1.1242	1	0.062078	GCF_002355895.1
MH447040.1.1247	1	0.07692	GCF_009738225.1
MH447042.1.1230	1	0.054672	GCF_002901845.1
MH447048.1.1261	1	0.048635	GCF_009738225.1
MH447050.1.1256	1	0.072548	GCF_016648855.1
MH447051.1.1263	1	0.060146	GCF_901875555.1
MH447052.1.1239	1	0.035377	GCF_009738225.1
MH447056.1.1281	1	0.063156	GCF_009738225.1
MH447059.1.1230	4	0.025129	GCA_024205745.1
MH447060.1.1253	4	0.059796	GCA_024205745.1
MH447066.1.1218	4	0.064955	GCA_024205745.1
MH447068.1.1290	4	0.028212	GCA_024205745.1
MH447069.1.1239	4	0.042288	GCA_943181435.1
MH455240.1.1314	1	0.020041	GCF_015751045.1
MH455255.1.1413	1	0.079418	GCF_015751045.1
MH458891.1.1261	1	0.019687	GCF_019834675.1
MH463778.1.1506	2	0.013021	GCF_014287795.1
MH463779.1.1479	2	0.05723	GCA_025145285.1
MH463945.1.1393	2	0.033687	GCF_019923725.1
MH470436.1.1212	1	0.033964	GCF_013415305.1
MH473312.1.1448	4	0.040738	GCF_000196555.1
MH475112.1.1201	1	0.021962	GCA_019739225.1
MH475133.1.1224	1	0.006228	GCF_000168975.1
MH478342.1.1381	2	0.035361	GCF_004795855.1
MH509189.1.1266	4	0.029156	GCF_000185365.1
MH538185.1.1369	6	0.039673	GCF_013377995.1
